Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,62.32,119.77,10.16,37.23,27.57,24.56,13.99,0.68,37.28,9.14,7.57,,,3.28,2.91,17.55,74.83,1.01,237.05,0.0,0.0,130.44,1016.25,0.42
2024-01-02,65.47,124.84,15.11,38.14,31.91,31.02,9.12,0.79,34.65,9.08,7.51,,,3.26,2.9,17.95,76.47,1.0,149.77,0.0,0.0,144.98,1016.08,0.42
2024-01-03,79.19,150.66,17.58,41.64,35.67,30.21,9.98,0.78,33.5,9.06,7.51,,,3.29,2.89,19.12,70.94,0.89,164.02,0.0,0.0,138.6,1015.6,0.41
2024-01-04,94.26,179.07,18.85,46.93,39.43,31.3,14.82,0.88,35.71,9.05,7.53,,,3.25,2.87,19.74,81.6,0.79,216.14,0.0,0.0,112.37,1015.48,0.41
2024-01-05,95.93,187.09,23.28,52.31,45.7,35.64,12.67,0.97,31.14,9.09,7.51,,,3.24,2.88,20.21,84.36,0.79,154.3,0.0,0.0,110.83,1016.07,0.41
2024-01-06,90.57,173.49,16.92,42.01,35.35,32.48,12.8,0.6,31.19,9.07,7.53,,,3.27,2.87,20.29,88.87,0.83,170.49,0.0,0.0,75.34,1016.79,0.41
2024-01-07,70.1,130.15,9.76,33.67,25.4,31.06,9.33,0.79,37.96,9.06,7.55,,,3.26,2.9,20.0,89.77,1.07,182.37,0.0,0.0,109.68,1017.7,0.42
2024-01-08,84.57,161.71,10.12,38.35,28.12,29.83,11.49,0.78,38.3,9.11,7.53,,,3.26,2.88,19.74,88.33,0.95,238.75,0.0,0.0,121.58,1017.83,0.42
2024-01-09,91.72,177.47,21.05,50.47,42.99,33.41,12.48,1.16,29.4,9.16,7.59,,,3.27,2.93,19.91,82.65,0.62,254.12,0.0,0.0,128.86,1016.76,0.41
2024-01-10,82.12,161.98,14.45,45.67,35.33,33.81,17.81,0.97,33.85,9.1,7.48,,,3.26,2.89,20.55,75.95,0.76,218.34,0.0,0.0,115.64,1014.87,0.41
2024-01-11,59.44,113.81,10.29,37.15,27.63,26.34,12.12,0.68,39.13,9.08,7.48,,,3.26,2.88,19.64,70.23,0.95,248.43,0.0,0.0,138.07,1016.67,0.42
2024-01-12,56.35,112.95,9.9,36.54,27.01,27.53,9.63,0.73,47.4,9.05,7.52,,,3.25,2.89,17.71,67.92,0.87,153.25,0.0,0.0,142.11,1016.29,0.42
2024-01-13,66.99,132.04,10.51,42.03,30.35,28.32,16.95,0.8,47.38,9.06,7.54,,,3.25,2.91,17.99,63.88,0.86,192.7,0.0,0.0,144.9,1015.55,0.42
2024-01-14,102.69,192.72,10.46,37.86,28.13,30.21,10.33,0.99,42.95,9.11,7.6,,,3.27,2.89,15.25,83.97,0.94,89.8,0.0,0.0,107.74,1015.24,0.42
2024-01-15,103.78,191.51,13.63,44.29,33.97,34.33,12.21,1.06,41.48,9.05,7.52,,,3.27,2.88,16.31,79.91,0.74,191.05,0.0,0.0,124.63,1014.81,0.41
2024-01-16,123.21,200.61,14.0,49.27,36.86,32.14,15.51,0.91,28.82,9.13,7.62,,,3.28,2.88,15.66,83.72,0.75,137.04,0.0,0.0,103.89,1014.59,0.41
2024-01-17,129.14,204.17,11.84,40.68,30.68,30.66,21.46,0.75,28.61,9.12,7.51,,,3.26,2.89,16.29,98.69,0.65,121.81,0.0,0.0,63.87,1014.66,0.42
2024-01-18,107.53,156.31,11.62,36.15,28.14,31.72,13.64,0.71,13.34,9.09,7.55,,,3.24,2.88,16.22,99.43,0.77,72.12,0.09,0.08,32.65,1015.02,0.41
2024-01-19,95.93,154.95,11.64,33.78,26.92,27.98,10.79,0.71,29.97,9.12,7.49,,,3.26,2.88,17.47,92.16,0.99,156.36,0.0,0.0,101.41,1016.7,0.42
2024-01-20,138.24,208.49,13.79,45.81,34.89,29.78,12.78,0.81,41.4,9.06,7.51,,,3.27,2.89,16.51,90.64,0.8,238.73,0.0,0.0,119.59,1016.57,0.41
2024-01-21,144.95,209.77,9.45,35.7,26.21,26.59,11.25,0.55,43.31,9.11,7.5,,,3.27,2.89,17.9,77.23,0.83,171.12,0.0,0.0,127.02,1015.91,0.41
2024-01-22,133.05,199.1,10.45,35.36,26.82,26.78,9.59,0.49,35.51,9.11,7.52,,,3.24,2.88,15.86,76.82,0.87,182.81,0.0,0.0,145.95,1018.22,0.42
2024-01-23,139.73,213.53,16.62,43.32,35.8,29.71,11.46,0.75,42.82,9.07,7.51,,,3.25,2.9,16.96,72.41,0.7,203.98,0.0,0.0,132.61,1016.46,0.41
2024-01-24,137.05,215.65,10.01,34.56,26.06,27.87,12.46,0.51,38.81,9.17,7.62,,,3.31,2.9,17.16,81.81,0.8,154.76,0.0,0.0,75.09,1016.66,0.41
2024-01-25,106.75,203.66,13.8,38.11,30.87,32.19,11.01,0.53,31.36,8.4,8.42,,,1.75,3.63,17.26,72.2,0.9,210.24,0.0,0.0,128.02,1018.73,0.41
2024-01-26,87.45,176.58,11.16,38.4,28.96,28.74,13.25,0.52,25.79,8.65,8.66,,,0.99,3.16,17.4,61.55,0.75,248.09,0.0,0.0,137.11,1019.6,0.41
2024-01-27,115.84,185.99,13.84,43.28,33.6,30.0,16.11,0.69,25.55,10.28,12.77,,,1.41,4.22,18.47,61.45,0.69,247.12,0.0,0.0,150.51,1019.05,0.41
