Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-04-01,128.44,321.28,23.19,86.11,64.65,8.84,38.98,3.69,20.66,0.22,0.0,,,,,29.42,49.5,0.37,115.45,0.0,0.0,9.08,746.34,
2024-04-02,125.77,302.48,5.38,51.64,31.84,7.91,60.29,2.92,47.75,0.23,0.0,,,,,30.37,42.84,1.25,101.49,0.0,0.0,210.82,746.86,
2024-04-03,126.53,313.03,4.94,39.24,24.88,10.87,80.18,2.85,57.47,0.18,0.0,,,,0.19,30.74,43.25,0.84,99.05,0.0,0.0,204.69,748.11,
2024-04-04,116.62,235.99,3.46,27.62,17.5,10.88,27.43,2.61,42.12,0.23,0.0,,,,,30.68,71.5,0.56,117.58,0.0,0.0,196.11,747.48,
2024-04-05,117.04,250.17,6.75,40.18,26.86,7.3,8.81,2.8,45.18,,,,,,,31.9,57.12,1.12,87.18,0.0,0.0,205.92,746.49,
2024-04-06,149.45,293.87,3.39,35.2,21.47,8.42,14.37,2.78,50.78,,,,,,,32.37,58.07,0.53,122.96,0.0,0.0,200.37,746.77,
2024-04-07,83.61,178.97,3.3,29.12,18.17,8.36,13.08,2.43,29.48,,,,,,,30.45,65.47,0.93,103.18,0.0,0.0,94.35,748.01,
2024-04-08,64.38,149.49,2.09,29.77,17.54,5.87,50.27,2.28,38.17,,,,,,,27.44,51.61,1.74,61.11,0.0,0.0,41.12,750.09,
2024-04-09,114.56,236.28,3.98,42.54,25.86,7.35,61.51,2.85,52.3,,,,,,,28.93,55.15,0.5,130.67,0.0,0.0,153.33,750.06,
2024-04-10,143.65,266.14,6.01,52.44,32.78,8.67,82.03,3.0,44.5,,,,,,,29.45,56.64,0.3,107.69,0.0,0.0,140.36,750.12,
2024-04-20,89.87,206.64,3.91,39.48,79.03,8.25,52.59,0.59,52.8,0.0,6.74,,,1.39,3.26,35.51,32.14,1.39,88.77,0.0,0.0,266.12,743.24,
2024-04-22,103.45,264.67,8.42,68.62,139.35,3.71,92.29,0.95,53.53,0.0,0.0,,,0.18,0.26,34.55,27.66,1.61,96.17,0.0,0.0,133.23,746.52,
2024-04-23,79.87,181.6,1.48,45.28,86.96,5.68,84.44,0.68,32.96,0.0,0.0,,,,,29.92,39.0,1.86,62.64,0.0,0.0,0.0,746.04,
2024-04-24,95.27,195.11,10.36,55.71,117.47,7.76,55.23,0.98,46.0,,,,,,,33.31,41.25,1.37,85.53,0.0,0.0,253.57,745.4,
2024-04-25,81.6,217.87,3.72,47.61,94.07,7.39,45.12,0.9,83.91,,,,,,,37.31,23.97,1.39,101.68,0.0,0.0,299.2,745.2,
2024-04-26,101.36,242.28,3.03,45.76,89.75,12.42,55.04,0.94,76.88,0.0,0.33,,,0.24,0.45,36.87,33.05,1.15,96.22,0.0,0.0,198.03,744.8,
2024-04-27,72.09,157.39,1.96,23.95,47.43,30.68,6.11,0.57,21.29,0.29,0.17,,,0.55,0.28,29.66,83.53,0.78,86.28,0.0,0.0,0.0,745.32,
2024-04-28,88.62,205.28,3.47,38.86,77.32,9.26,41.85,0.92,55.5,0.0,0.13,,,0.14,0.39,35.6,36.77,1.45,78.26,0.0,0.0,209.34,745.77,
2024-04-29,66.71,185.42,4.22,45.14,90.06,5.95,47.0,0.92,61.84,0.05,0.12,,,0.13,0.42,37.13,25.27,1.54,71.64,0.0,0.0,208.28,745.46,
2024-04-30,116.66,267.68,10.05,61.35,123.64,5.62,73.21,1.39,53.73,0.04,0.11,,,0.13,0.46,36.05,32.49,1.55,86.54,0.0,0.0,221.99,742.89,
2024-05-01,121.82,301.42,3.74,45.64,90.4,5.81,64.01,1.27,67.04,0.0,0.12,,,0.13,0.42,35.29,27.52,1.13,99.0,0.0,0.0,230.73,742.59,
2024-05-02,99.52,230.71,5.09,51.18,102.49,8.14,41.56,1.17,59.99,0.02,0.1,,,0.12,0.38,33.67,34.08,1.12,109.14,0.0,0.0,231.76,743.35,
2024-05-03,113.63,276.59,2.66,51.88,100.8,4.57,44.44,1.28,70.9,0.0,0.11,,,0.12,0.51,32.8,22.54,0.8,113.46,0.0,0.0,247.47,746.01,
2024-05-04,106.54,241.81,3.37,33.06,66.3,16.23,22.37,1.19,48.3,0.0,0.09,,,0.11,0.33,32.19,61.14,0.93,159.78,0.0,0.0,192.39,745.84,
2024-05-05,74.26,158.83,2.38,25.92,51.65,9.34,5.95,0.97,42.61,0.0,0.08,,,0.11,0.23,33.62,63.47,1.26,117.58,0.0,0.0,241.99,743.64,
2024-05-06,59.18,127.11,1.48,16.43,32.7,10.28,5.06,0.88,30.61,0.45,0.04,,,0.17,0.37,31.05,80.97,1.09,219.87,0.0,0.0,131.67,745.61,
2024-05-07,39.23,85.03,1.45,20.98,41.24,8.3,6.22,0.79,52.48,2.36,0.09,,,0.54,1.12,27.79,78.7,1.18,207.91,0.25,0.25,202.19,749.21,
2024-05-08,30.14,60.91,0.99,21.19,41.05,8.47,6.49,0.97,56.67,2.11,0.14,,,0.54,1.17,27.42,81.21,0.73,205.64,0.0,0.0,259.13,749.52,
2024-05-09,49.07,95.95,1.42,27.93,54.24,6.69,5.53,1.06,34.35,2.54,0.43,,,0.53,1.53,26.09,94.51,0.75,151.76,0.51,0.51,96.09,749.08,
2024-05-10,59.6,120.92,1.66,28.76,56.12,6.15,7.27,1.37,36.61,3.28,0.41,,,0.57,1.54,26.64,92.96,0.7,190.33,0.0,0.0,214.95,749.21,
2024-05-11,65.5,129.33,1.63,28.73,56.01,5.25,5.65,1.21,34.08,2.37,0.6,,,,1.71,27.59,91.69,0.73,195.2,0.19,0.19,174.75,749.12,
2024-05-12,55.82,106.1,0.86,25.65,49.25,4.55,5.73,1.06,43.64,2.47,0.14,,,0.57,1.64,27.9,86.2,0.53,215.64,0.0,0.0,248.36,749.7,
2024-05-13,86.83,154.6,0.76,26.76,51.13,5.78,5.57,1.13,42.7,3.58,0.69,,,,1.48,30.04,85.25,0.47,174.57,0.0,0.0,169.49,749.14,
2024-05-14,90.36,159.84,2.08,31.86,62.45,5.19,6.46,1.21,38.56,3.11,0.46,,,0.91,1.23,31.02,79.16,0.54,167.71,0.0,0.0,214.74,748.85,
