Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-09-02,28.23,50.9,0.65,8.13,4.85,3.05,3.3,0.55,36.07,0.23,0.64,0.4,,0.16,0.24,30.59,77.12,0.83,127.25,0.0,0.0,270.52,746.04,
2024-09-03,49.18,79.89,1.1,9.12,5.75,3.62,3.49,0.6,34.48,0.22,0.67,0.38,,0.14,0.25,29.42,82.95,0.79,156.36,0.0,0.0,188.77,746.62,
2024-09-04,45.28,76.75,1.97,12.75,8.38,2.78,3.58,0.6,30.68,0.23,0.62,0.37,,0.15,0.23,30.05,80.16,0.91,164.37,0.0,0.0,251.54,744.79,
2024-09-05,57.7,93.33,1.58,8.94,6.04,2.9,3.56,0.62,36.08,0.27,4.16,1.82,,0.88,1.55,29.58,84.69,0.84,149.44,0.0,0.0,202.8,743.94,
2024-09-06,31.55,58.32,2.26,9.46,6.87,2.7,4.18,0.55,30.44,0.28,9.23,3.54,,1.99,3.1,29.51,85.08,0.74,130.55,0.0,0.0,241.21,744.66,
2024-09-07,36.6,67.36,3.11,14.02,9.95,3.35,4.1,0.32,32.35,0.33,8.79,3.57,,2.61,2.66,29.44,84.38,0.73,143.51,0.0,0.0,186.55,744.54,
2024-09-08,18.23,40.92,1.49,6.49,4.66,1.66,3.73,0.22,34.13,0.33,5.57,2.92,,1.05,2.42,29.25,84.35,0.84,131.6,0.01,0.01,270.99,744.09,
2024-09-09,13.52,36.65,1.18,4.43,3.31,1.46,3.6,0.21,30.41,0.34,4.34,2.44,,0.75,2.02,28.79,88.53,1.23,82.95,0.01,0.01,201.42,742.54,
2024-09-10,18.07,41.57,1.1,5.33,3.73,2.76,3.44,0.24,32.71,0.35,4.05,2.11,,0.76,1.66,27.74,94.28,0.93,93.16,0.0,0.0,109.6,742.53,
2024-09-11,30.67,55.44,1.56,7.5,5.25,7.87,3.19,0.29,24.05,0.32,4.24,2.17,,0.82,1.67,29.04,90.06,0.81,133.12,0.0,0.0,152.46,743.48,
2024-09-12,77.04,127.23,3.12,13.66,9.81,19.31,3.76,0.56,29.69,0.31,4.6,2.14,,1.28,1.49,30.36,84.12,0.61,246.3,0.03,0.03,189.54,743.77,
2024-09-13,43.31,73.02,1.47,6.15,4.46,23.79,2.7,0.32,25.26,0.35,3.04,1.54,,0.81,1.12,29.92,87.38,1.09,277.21,0.16,0.16,160.38,742.37,
2024-09-14,14.37,36.73,0.49,4.39,2.73,6.13,1.84,0.19,42.85,0.15,1.41,0.9,,0.24,0.78,25.43,98.13,2.17,177.78,1.16,1.16,42.44,740.16,
2024-09-15,9.72,39.37,0.21,3.95,2.27,4.04,2.0,0.18,47.6,0.11,1.2,0.79,,0.17,0.66,24.89,99.48,2.2,62.58,0.84,0.84,17.21,737.34,
2024-09-16,18.5,43.51,0.18,3.41,1.96,2.81,2.31,0.21,46.81,0.15,1.32,0.77,,0.22,0.66,25.37,99.47,2.29,95.48,0.92,0.92,24.33,740.86,
2024-09-17,36.28,69.41,2.16,5.08,4.42,1.39,2.91,0.35,39.76,0.21,1.96,0.98,,0.64,0.68,27.99,88.81,1.3,140.09,0.02,0.02,180.81,745.59,
2024-09-18,57.8,104.24,2.27,7.69,5.94,5.55,2.52,0.43,22.74,0.44,2.49,1.18,,0.94,0.75,28.0,84.89,0.62,201.61,0.0,0.0,230.17,745.75,
2024-09-19,76.64,132.18,3.65,11.59,9.13,6.73,3.05,0.61,37.3,0.97,2.85,1.19,,1.06,0.71,29.23,82.78,0.54,263.44,0.0,0.0,202.96,745.42,
2024-09-20,82.97,126.17,1.2,11.1,6.88,6.64,3.31,0.54,44.81,0.89,2.54,1.06,,0.89,0.66,30.25,81.83,0.55,229.89,0.0,0.0,220.18,745.32,
